CustomerID,Age,TransactionAmount,TransactionsPerDay,AvgTimeBetweenTx_Min,OnlinePurchaseRatio,ForeignTransaction,PotentialRiskGroup
746859,56,3234.6,15,1131,0.78,0,Low Risk
956764,36,260.67,11,88,0.33,0,Low Risk
285983,20,91.6,2,344,0.83,0,Low Risk
430537,38,1971.96,22,253,0.43,0,Low Risk
499801,59,145.58,16,190,0.09,0,Low Risk
420139,61,1494.06,3,647,0.17,0,Low Risk
923410,21,5751.59,14,242,0.39,0,Low Risk
391969,19,2355.5,7,509,0.83,0,Low Risk
566164,34,648.92,4,1026,0.43,0,Low Risk
160052,21,458.78,18,730,0.45,0,Low Risk
654214,53,1872.11,15,456,0.57,0,Low Risk
676623,57,3772.65,18,879,0.83,0,Low Risk
277691,62,353.8,15,65,0.02,0,Low Risk
828389,18,493.08,24,1087,0.82,0,Low Risk
644012,52,3172.97,5,231,0.65,1,Low Risk
396519,26,2002.6,34,1057,0.06,0,Low Risk
100895,41,2242.76,22,961,0.38,1,Low Risk
117652,20,2910.79,26,503,0.77,0,Low Risk
896189,26,2530.33,26,892,0.11,0,Low Risk
920441,56,1340.12,32,485,0.25,0,Low Risk
811955,60,503.95,13,1184,0.6,0,Low Risk
818244,45,5359.9,6,796,0.8,0,Low Risk
442129,47,4345.96,28,1255,0.91,0,Medium Risk
949643,44,1164.12,13,1283,0.01,0,Low Risk
243285,26,1376.52,33,1258,0.34,1,Medium Risk
564288,49,1512.91,12,1410,0.71,0,Low Risk
733425,34,670.62,2,642,0.41,0,Low Risk
445026,49,4827.72,19,1154,0.53,0,Low Risk
961255,23,604.29,4,203,0.37,0,Low Risk
841212,55,967.05,34,198,0.4,0,Low Risk
446365,33,3657.29,6,464,0.04,0,Low Risk
888119,53,83.45,3,147,0.35,0,Low Risk
963592,58,2398.43,39,338,0.84,0,Medium Risk
815634,42,519.1,31,1322,0.26,0,Low Risk
682672,43,8103.56,2,897,0.09,1,Medium Risk
475317,54,4334.96,9,1257,0.35,0,Low Risk
974399,20,3930.39,33,628,0.08,0,Low Risk
534769,55,2261.2,35,1136,0.1,0,Low Risk
640753,46,717.93,18,822,0.45,1,Low Risk
433928,53,2540.83,33,398,0.33,0,Low Risk
683469,25,3833.91,17,640,0.57,0,Low Risk
579055,68,2073.03,22,750,0.59,1,Low Risk
352778,68,4502.11,27,27,0.79,0,Low Risk
947334,45,2260.82,33,453,0.23,0,Low Risk
989931,21,99.23,17,1196,0.94,1,Medium Risk
275886,23,974.57,37,280,0.33,0,Low Risk
655482,48,6677.47,33,1140,0.29,0,Medium Risk
385877,40,675.25,3,128,0.37,0,Low Risk
918734,20,1738.22,24,626,0.62,1,Low Risk
708990,19,636.5,2,785,0.85,0,Low Risk
195234,65,1659.59,26,921,0.61,0,Low Risk
775594,24,1442.37,20,321,0.07,0,Low Risk
147362,31,4464.65,23,1167,0.38,0,Low Risk
463878,40,2279.64,25,575,0.98,0,Low Risk
800676,39,626.03,6,1078,0.54,0,Low Risk
411044,25,2989.3,5,1127,0.09,0,Low Risk
467774,69,1109.86,35,823,0.14,0,Low Risk
935947,67,1502.58,30,657,0.4,0,Low Risk
497928,43,101.36,23,1151,0.7,0,Low Risk
948412,18,1218.06,32,1142,0.71,0,Low Risk
631365,18,6246.21,39,704,0.55,0,Medium Risk
602176,20,619.32,16,997,0.12,0,Low Risk
180172,45,144.19,30,958,0.7,0,Low Risk
503951,43,2932.47,21,551,0.35,0,Low Risk
341636,54,1066.67,10,1124,0.05,0,Low Risk
586620,36,1448.88,1,1016,0.66,0,Low Risk
428554,41,5810.94,2,497,0.87,0,Medium Risk
629233,37,1763.56,35,380,0.13,0,Low Risk
284558,60,5726.25,3,1192,0.91,0,Medium Risk
491529,30,533.1,2,1277,0.09,0,Low Risk
330334,34,2182.62,29,970,0.02,0,Low Risk
191176,58,1420.51,11,413,0.04,0,Low Risk
427162,53,440.67,9,920,0.81,1,Medium Risk
918167,65,323.22,39,96,0.34,1,Medium Risk
405160,54,595.18,13,279,0.75,0,Low Risk
384130,34,1578.55,20,729,0.32,1,Low Risk
697210,66,159.94,19,76,0.35,1,Low Risk
924208,48,6065.9,19,1391,0.08,0,Low Risk
427077,29,846.97,21,1175,0.78,0,Low Risk
376314,59,7368.5,14,1247,0.06,0,Low Risk
295229,46,914.38,18,751,0.14,0,Low Risk
967501,61,4082.84,38,1198,0.7,0,Low Risk
830428,67,4499.34,2,29,0.08,1,Low Risk
265238,65,4027.57,22,500,0.24,1,Low Risk
223756,62,2849.8,6,1276,0.08,0,Low Risk
491197,56,1154.07,26,39,0.43,0,Low Risk
669912,67,1314.71,20,476,0.77,0,Low Risk
697007,56,2791.2,13,348,0.96,0,Low Risk
335114,66,223.06,33,934,0.44,0,Low Risk
485569,62,7055.05,21,80,0.53,1,Medium Risk
269015,54,633.35,19,1426,0.17,0,Low Risk
953334,32,1262.26,3,656,0.74,1,Low Risk
911803,27,6057.99,8,358,0.46,0,Low Risk
157288,25,421.89,36,90,0.39,0,Low Risk
971161,45,211.84,36,502,0.03,0,Low Risk
403992,37,1896.54,29,909,0.91,0,Medium Risk
961880,35,1127.9,5,450,0.08,1,Low Risk
139210,62,410.25,33,374,0.81,1,High Risk
702674,66,995.58,26,63,0.39,0,Low Risk
240385,66,3694.38,34,105,0.41,0,Low Risk
329829,65,206.7,28,709,1.0,1,High Risk
376158,40,2980.57,37,714,0.85,0,Medium Risk
530544,31,508.94,1,51,0.27,0,Low Risk
243167,18,2277.66,32,34,0.36,0,Low Risk
512969,43,1428.97,3,1330,0.85,0,Low Risk
616324,22,235.13,17,624,0.48,0,Low Risk
212546,54,1986.8,2,75,0.21,0,Low Risk
347558,51,913.37,34,798,0.55,0,Low Risk
365264,51,906.21,38,984,0.91,0,Medium Risk
608056,59,4016.28,5,797,0.15,1,Low Risk
946871,27,2979.96,20,984,0.05,0,Low Risk
381403,19,847.23,11,111,0.13,0,Low Risk
911818,48,1072.65,16,900,0.18,0,Low Risk
922229,20,4197.99,27,93,0.97,0,Medium Risk
425786,68,133.45,5,604,0.35,0,Low Risk
740148,23,307.11,12,346,0.89,0,Low Risk
249772,43,2394.91,9,794,0.8,0,Low Risk
934050,64,1483.47,17,1050,0.87,0,Low Risk
133261,52,457.96,15,303,0.37,0,Low Risk
770158,43,2903.86,14,1240,0.72,0,Low Risk
259100,68,2548.98,23,750,0.75,0,Low Risk
417085,35,1236.29,35,1039,0.1,0,Low Risk
609322,45,90.55,17,1255,0.09,0,Low Risk
713350,42,4474.16,20,25,0.68,0,Low Risk
496105,62,1356.25,36,111,0.74,0,Low Risk
426346,57,1180.07,19,425,0.34,1,Low Risk
574341,51,610.36,6,1401,0.24,0,Low Risk
511924,23,959.38,4,1374,0.19,0,Low Risk
281951,48,164.52,9,759,0.05,0,Low Risk
965093,54,8127.28,31,6,0.4,1,High Risk
961006,21,60.63,30,504,0.72,0,Low Risk
180546,19,1677.3,8,1050,0.28,0,Low Risk
410622,23,6933.67,4,724,0.51,0,Low Risk
672187,64,2506.74,14,320,0.09,0,Low Risk
674257,53,823.21,3,902,0.34,0,Low Risk
685918,40,1642.23,2,13,0.68,0,Low Risk
667606,54,55.43,9,911,0.47,0,Low Risk
374901,47,275.66,5,318,0.75,0,Low Risk
354626,28,5622.25,12,513,0.74,0,Low Risk
552729,46,351.12,37,270,0.8,0,Low Risk
845704,54,3420.21,14,1434,0.91,0,Low Risk
283470,59,1046.63,8,1319,0.71,1,Low Risk
436779,55,1602.11,15,993,0.23,1,Low Risk
314443,19,1618.56,39,198,0.94,0,Medium Risk
391806,25,2416.5,15,1313,0.53,1,Low Risk
333050,53,12193.28,33,1021,0.25,0,Medium Risk
113950,21,1737.43,10,517,0.88,0,Low Risk
613644,55,1587.82,36,216,0.6,0,Low Risk
620883,25,374.84,4,844,0.77,0,Low Risk
992226,68,2418.0,36,794,0.25,0,Low Risk
905030,28,6442.02,38,1158,0.4,0,Medium Risk
754499,63,1958.77,26,141,0.14,0,Low Risk
511786,50,86.55,12,1004,0.57,0,Low Risk
904056,54,2506.79,28,1402,0.07,0,Low Risk
909815,31,5497.35,22,779,0.45,0,Low Risk
807938,38,411.89,36,1206,0.84,0,Medium Risk
681355,68,1839.43,21,969,0.74,0,Low Risk
897355,43,861.43,25,75,0.92,0,Low Risk
911208,44,2725.02,17,640,0.22,0,Low Risk
722266,68,620.64,25,1204,0.42,1,Low Risk
366654,66,3082.77,22,666,0.01,0,Low Risk
476932,24,7471.54,20,342,0.09,1,Medium Risk
294394,66,762.2,32,1165,0.4,0,Low Risk
222070,36,909.68,30,285,0.62,0,Low Risk
150158,33,1714.09,18,769,0.78,0,Low Risk
775972,19,1579.1,30,947,0.16,0,Low Risk
529653,46,207.01,3,800,0.27,1,Low Risk
371521,51,1100.98,23,55,0.16,0,Low Risk
630299,46,1098.44,3,443,0.51,0,Low Risk
900217,64,1735.35,33,1007,0.72,0,Low Risk
648369,41,2612.19,16,452,0.94,0,Low Risk
905188,31,743.87,18,7,0.63,0,Low Risk
799757,38,103.78,19,1309,0.42,1,Low Risk
140831,64,2010.39,11,746,0.83,0,Low Risk
437767,29,3601.63,37,934,0.77,0,Low Risk
153567,61,545.67,22,1388,0.14,1,Low Risk
506770,63,1323.78,32,721,0.48,0,Low Risk
373891,26,1610.18,25,1383,0.22,0,Low Risk
245006,63,8371.25,29,1133,0.69,0,Medium Risk
227581,23,4963.78,21,42,0.58,0,Low Risk
938976,34,1089.22,38,1402,0.72,0,Low Risk
285293,39,344.42,31,646,0.73,0,Low Risk
428844,62,2237.47,7,906,0.91,0,Low Risk
339324,45,2997.29,2,1020,0.96,0,Low Risk
193010,53,2997.94,29,149,0.84,0,Medium Risk
735198,53,2589.13,39,744,0.57,0,Low Risk
787887,64,6212.01,22,69,0.48,0,Low Risk
576973,64,658.34,35,1268,0.05,0,Low Risk
840444,62,386.06,9,154,0.47,0,Low Risk
525258,57,2655.29,25,61,0.69,0,Low Risk
322142,56,207.94,37,108,0.69,0,Low Risk
188252,51,267.61,37,1068,0.81,1,High Risk
807008,34,6050.98,12,1342,0.96,0,Medium Risk
303116,48,3335.59,23,374,0.64,1,Low Risk
779472,35,1394.44,15,489,0.94,0,Low Risk
697728,27,1824.74,17,981,0.47,0,Low Risk
606825,32,2440.82,9,883,0.92,1,Medium Risk
431757,40,3222.83,31,990,0.05,0,Low Risk
194152,59,2118.72,14,1183,0.36,0,Low Risk
451268,62,210.15,37,1195,0.34,0,Low Risk
905599,61,1749.26,4,1373,0.66,0,Low Risk
405852,50,4392.72,2,311,0.46,1,Low Risk
216147,30,1555.53,32,1063,0.01,0,Low Risk
843145,66,1078.1,16,1263,0.4,0,Low Risk
163133,56,1528.46,1,3,0.47,0,Low Risk
991997,67,752.83,37,432,0.02,1,Medium Risk
124547,26,281.87,24,964,0.22,1,Low Risk
416109,54,237.33,6,807,0.88,1,Medium Risk
234826,28,4731.07,34,1177,0.74,0,Low Risk
926779,25,5770.02,10,1131,0.18,0,Low Risk
478362,66,6355.72,6,54,0.97,1,High Risk
459863,52,1869.0,35,690,0.49,1,Medium Risk
905769,20,3433.83,38,781,0.22,0,Low Risk
444656,26,4556.09,37,1291,0.88,0,Medium Risk
850934,45,1345.11,3,921,0.85,0,Low Risk
936396,32,2179.83,5,1419,0.09,0,Low Risk
504596,32,60.19,5,1200,0.5,0,Low Risk
730863,65,2349.34,5,973,0.85,0,Low Risk
771785,49,1501.67,3,1064,0.68,0,Low Risk
827670,62,2697.84,24,1171,0.87,0,Low Risk
482370,65,2514.49,25,1194,0.11,0,Low Risk
951832,24,4318.0,31,535,0.01,0,Low Risk
148048,47,4837.24,18,356,0.56,0,Low Risk
427988,29,62.81,32,1070,0.33,0,Low Risk
598436,57,651.68,24,365,0.78,0,Low Risk
200424,47,87.2,32,994,0.34,0,Low Risk
101726,47,2852.4,22,1220,0.17,0,Low Risk
583632,21,766.1,17,524,0.07,0,Low Risk
277416,18,169.33,18,306,0.99,0,Low Risk
319655,29,2819.81,35,948,0.76,0,Low Risk
374675,28,3496.48,15,947,0.25,0,Low Risk
543587,51,689.38,29,516,0.43,0,Low Risk
884377,56,1547.42,29,157,0.3,0,Low Risk
663599,64,2331.99,22,849,0.96,0,Low Risk
173829,46,5801.14,16,869,0.64,0,Low Risk
806859,22,8317.54,1,570,0.89,0,Medium Risk
580268,52,113.26,25,792,0.37,1,Low Risk
659417,33,1617.16,25,1333,0.15,0,Low Risk
175844,67,2912.78,3,349,0.13,0,Low Risk
306370,20,460.26,15,1177,0.0,0,Low Risk
448078,61,618.81,9,1017,0.16,0,Low Risk
133582,19,3244.61,11,1088,0.46,0,Low Risk
133009,35,2331.72,18,1390,0.97,0,Low Risk
638153,28,2424.77,33,102,0.91,0,Medium Risk
386778,68,271.71,17,588,0.99,0,Low Risk
997797,33,1366.94,28,673,0.56,0,Low Risk
563422,50,1508.43,33,589,0.08,0,Low Risk
613319,19,7635.49,26,122,0.8,0,Medium Risk
748640,61,270.9,11,317,0.71,0,Low Risk
299657,23,1967.38,31,553,0.71,1,Medium Risk
636922,67,2013.28,20,1342,0.61,0,Low Risk
519701,28,4554.1,4,1414,0.82,0,Low Risk
514839,20,133.22,14,971,0.72,0,Low Risk
522938,29,397.62,19,750,0.34,0,Low Risk
411153,49,1429.09,18,914,0.65,0,Low Risk
212295,58,1409.58,28,755,0.68,0,Low Risk
691706,32,645.96,12,862,0.96,0,Low Risk
603849,41,1158.49,4,732,0.37,1,Low Risk
343007,41,1617.46,32,420,0.03,0,Low Risk
182482,53,4183.81,34,932,0.42,0,Low Risk
777855,68,717.74,12,1261,0.47,0,Low Risk
466550,50,332.13,8,100,0.91,0,Low Risk
772918,61,983.13,2,375,0.41,0,Low Risk
331324,58,617.99,14,504,0.58,0,Low Risk
618464,56,407.11,25,28,0.26,0,Low Risk
261874,18,3019.78,36,301,0.24,0,Low Risk
563697,27,202.68,14,592,0.52,0,Low Risk
945966,47,365.08,5,1300,0.59,1,Low Risk
622845,37,1004.0,37,687,0.66,0,Low Risk
780428,66,2494.18,28,1391,0.87,0,Medium Risk
150640,37,678.74,2,969,0.53,1,Low Risk
956523,46,2093.32,35,198,0.18,0,Low Risk
630662,50,1465.45,14,1036,0.15,1,Low Risk
683775,41,2366.52,34,217,0.64,1,Medium Risk
300083,48,636.66,23,1318,0.14,0,Low Risk
300340,62,359.9,8,1365,0.09,0,Low Risk
944944,49,584.61,22,1199,0.69,0,Low Risk
386701,43,987.76,30,114,0.24,0,Low Risk
816910,64,1740.78,12,987,0.93,0,Low Risk
202042,50,1885.63,31,1077,0.67,0,Low Risk
826429,45,397.01,6,575,0.98,0,Low Risk
433951,65,2842.11,13,1183,0.74,1,Low Risk
968863,55,842.12,38,19,0.81,0,Medium Risk
642913,58,813.09,11,1368,0.3,0,Low Risk
572087,38,834.86,12,711,0.56,0,Low Risk
102102,46,1240.93,32,291,0.23,0,Low Risk
504413,52,418.91,14,842,0.76,0,Low Risk
628107,38,4030.43,2,454,0.91,0,Low Risk
842399,42,1006.7,34,304,0.58,0,Low Risk
995477,32,1052.96,23,1350,0.75,0,Low Risk
140673,60,86.8,23,619,0.01,0,Low Risk
141221,32,608.06,11,51,0.06,1,Low Risk
500144,39,482.73,14,964,0.26,0,Low Risk
903704,44,5357.29,28,291,0.58,0,Medium Risk
102586,47,2568.62,13,644,0.82,0,Low Risk
387696,24,2335.87,10,1063,0.53,0,Low Risk
544282,66,1725.48,36,1108,0.48,0,Low Risk
444473,18,985.24,13,887,0.64,0,Low Risk
429741,45,567.75,9,10,0.17,0,Low Risk
375435,59,4655.63,16,1073,0.24,0,Low Risk
101887,67,2683.22,36,1084,0.67,0,Low Risk
318883,36,2005.58,33,242,0.15,0,Low Risk
131176,61,4022.59,21,662,0.02,0,Low Risk
230968,45,511.81,11,650,0.26,0,Low Risk
