customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2139-XHOZI,Male,0,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),109.07,1406.94,Yes
6282-GXUVN,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),33.21,191.42,Yes
6569-RROAU,Female,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),51.45,1481.95,No
7444-CWGFH,Male,0,Yes,Yes,3,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),104.53,362.32,Yes
9450-WXQRR,Male,0,Yes,Yes,36,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),118.85,4314.58,Yes
3327-CKBRV,Male,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.48,426.74,Yes
3414-ETLTM,Male,0,No,Yes,68,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,68.56,4709.6,No
4847-KIHTS,Male,1,Yes,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,75.57,108.48,Yes
8376-WMDWK,Male,1,Yes,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),85.89,5024.09,Yes
5805-XURZB,Female,0,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),30.58,808.37,No
1584-ATZIG,Male,1,No,No,32,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,31.55,1000.6,Yes
2938-FFMCS,Female,0,No,No,3,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,85.51,216.14,No
7946-GTNFA,Female,0,No,Yes,4,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,55.89,220.84,No
6115-SUHYR,Female,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),101.93,5629.63,No
6893-VINMW,Male,1,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),85.9,210.38,Yes
5889-PYXTQ,Male,1,No,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,108.33,3487.36,No
1201-LAZXV,Male,1,Yes,Yes,42,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,80.01,3345.5,No
5341-LLKOA,Female,0,No,Yes,67,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,69.49,,No
1416-IEJGJ,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,21.66,1369.29,Yes
3822-UTVJN,Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,114.51,1845.4,No
6959-KQSFL,Male,0,No,Yes,45,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,37.39,1670.1,No
1066-PZUCL,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,115.42,5675.04,No
1312-XHHOS,Male,1,Yes,Yes,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.33,549.76,Yes
4725-AKDXO,Male,1,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,77.45,5146.02,No
7094-LCUCY,Female,1,Yes,Yes,60,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,45.63,2747.61,No
9311-DFBZI,Male,1,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.94,2321.81,No
