EmployeeID,Experience,Education,City,Department,Salary
44920,0.7,PhD,Bangalore,DevOps,71348.0
48546,0.9,Master,Hyderabad,AI Research,72264.0
46369,5.7,Bachelor,Jaipur,DevOps,
67995,13.6,PhD,Jaipur,Cloud,145701.0
60173,8.6,Bachelor,Pune,Cloud,87900.0
74784,3.2,Bachelor,Hyderabad,Software,47279.0
43838,1.9,Bachelor,Hyderabad,DevOps,28836.0
49942,,Bachelor,Bangalore,Data Science,105544.0
41995,9.4,Bachelor,Bangalore,Data Science,105355.0
31644,0.6,Master,Jaipur,DevOps,38239.0
76642,1.6,PhD,Pune,Software,70680.0
30666,9.9,Master,Jaipur,Cloud,101214.0
36747,10.5,PhD,Jaipur,AI Research,156639.0
47289,4.4,Bachelor,Bangalore,DevOps,75307.0
34420,11.1,PhD,Hyderabad,DevOps,126247.0
67344,6.8,Master,Pune,Data Science,88815.0
59705,14.5,Bachelor,Jaipur,Cloud,127850.0
35160,10.7,PhD,Hyderabad,Data Science,143683.0
89501,14.1,PhD,Hyderabad,AI Research,174253.0
87642,14.5,Master,Hyderabad,DevOps,145827.0
29355,8.6,Master,Hyderabad,AI Research,110456.0
16310,10.9,PhD,Delhi,AI Research,160092.0
94037,8.0,PhD,Delhi,AI Research,149383.0
72828,3.7,Bachelor,Delhi,DevOps,57643.0
13323,13.9,PhD,Hyderabad,DevOps,145232.0
59680,4.0,Master,Delhi,AI Research,106537.0
32128,1.3,Bachelor,Hyderabad,Cloud,34669.0
83939,7.3,Bachelor,Bangalore,Software,93274.0
88971,9.8,Bachelor,Hyderabad,Data Science,108428.0
22290,11.9,Master,Delhi,Software,127701.0
35624,2.7,PhD,Delhi,DevOps,82958.0
51907,13.6,Bachelor,Bangalore,Data Science,142361.0
92035,13.8,PhD,Bangalore,Software,160237.0
26648,,Master,Bangalore,AI Research,159384.0
58092,10.5,Bachelor,Jaipur,Software,100217.0
90395,9.7,Bachelor,Pune,AI Research,106916.0
76986,2.1,Master,Bangalore,DevOps,67684.0
37736,10.2,Master,Pune,Cloud,102593.0
46545,13.1,Master,Jaipur,Data Science,150975.0
58209,2.4,Master,Pune,AI Research,86142.0
75050,9.5,PhD,Hyderabad,Data Science,124258.0
92275,3.6,Master,Bangalore,DevOps,76660.0
51124,7.2,Bachelor,Delhi,Data Science,86776.0
70984,13.3,PhD,Hyderabad,AI Research,161123.0
93310,3.6,Master,Jaipur,Data Science,67060.0
85816,6.1,PhD,Jaipur,DevOps,92375.0
51705,3.4,Bachelor,Hyderabad,DevOps,50722.0
33603,4.9,Master,Jaipur,Cloud,77828.0
16859,1.4,Master,Bangalore,Data Science,74364.0
97582,10.9,Master,Pune,DevOps,120148.0
94902,13.0,Master,Delhi,AI Research,169545.0
82520,13.5,Master,Hyderabad,Software,136064.0
11449,4.7,PhD,Bangalore,DevOps,93591.0
18773,10.8,PhD,Pune,Data Science,140946.0
49843,7.6,Bachelor,Jaipur,Cloud,83860.0
36412,8.9,Master,Pune,Data Science,116513.0
83014,9.9,PhD,Pune,Software,127481.0
29322,8.4,Bachelor,Hyderabad,DevOps,91388.0
14842,6.1,Master,Jaipur,Cloud,78035.0
35691,12.7,Master,Jaipur,DevOps,126391.0
75610,6.2,Master,Jaipur,DevOps,75550.0
61979,12.2,Bachelor,Pune,Data Science,124952.0
58348,13.0,PhD,Jaipur,Data Science,157222.0
79765,13.7,Bachelor,Jaipur,Software,117929.0
49272,10.0,PhD,Pune,Cloud,134404.0
84078,8.9,Master,Hyderabad,DevOps,94632.0
61435,2.8,PhD,Jaipur,AI Research,86789.0
77224,,PhD,Hyderabad,Software,86559.0
33713,6.2,Bachelor,Pune,DevOps,62211.0
58927,1.0,Bachelor,Delhi,AI Research,56384.0
63640,12.8,PhD,Jaipur,Data Science,155723.0
27783,11.7,PhD,Pune,Data Science,148720.0
28714,13.5,PhD,Hyderabad,Cloud,146073.0
72929,11.8,PhD,Bangalore,DevOps,149050.0
34794,4.4,Master,Delhi,DevOps,80902.0
23800,8.2,Bachelor,Hyderabad,DevOps,79999.0
48573,14.7,Master,Jaipur,Cloud,135177.0
61921,11.8,Bachelor,Delhi,DevOps,111690.0
27739,8.5,Master,Jaipur,Data Science,114743.0
67596,8.5,Master,Pune,Data Science,110451.0
85907,10.3,PhD,Delhi,DevOps,139352.0
12001,9.8,Bachelor,Delhi,Software,104167.0
25073,3.0,Master,Bangalore,AI Research,92408.0
71634,6.3,Bachelor,Hyderabad,Software,59646.0
72676,0.8,Bachelor,Pune,Software,32698.0
78555,9.9,PhD,Bangalore,Data Science,138551.0
86978,8.5,Master,Jaipur,AI Research,115556.0
12573,13.5,Master,Delhi,AI Research,160990.0
16912,6.6,Master,Jaipur,AI Research,109359.0
22064,7.3,Bachelor,Delhi,DevOps,91012.0
74555,11.8,Master,Hyderabad,AI Research,142553.0
98679,10.9,PhD,Hyderabad,Software,128504.0
45385,5.3,Bachelor,Jaipur,DevOps,58546.0
34045,2.0,Bachelor,Hyderabad,DevOps,32032.0
94098,12.7,PhD,Hyderabad,Cloud,142454.0
57719,9.2,Master,Pune,Cloud,99136.0
80683,10.1,Master,Delhi,Data Science,126518.0
56373,1.9,PhD,Pune,Software,61129.0
25931,11.4,Bachelor,Delhi,Software,116819.0
20179,11.4,Master,Jaipur,DevOps,
37929,3.5,Bachelor,Pune,Data Science,68709.0
17733,6.3,Master,Bangalore,Cloud,96626.0
80560,8.4,Master,Bangalore,Software,101148.0
11160,10.0,Bachelor,Pune,Cloud,
60035,14.5,Bachelor,Jaipur,Data Science,136159.0
63340,4.9,Bachelor,Jaipur,Cloud,53895.0
94616,4.7,Bachelor,Delhi,Software,69985.0
74351,8.9,Bachelor,Delhi,Software,88466.0
96607,1.3,Bachelor,Hyderabad,Software,34389.0
